Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2016-8-5,2016,8,5,Indianapolis,Kansas City,,2.5,3.5,,-1,3,no,0
2016-8-6,2016,8,6,Seattle,New Orleans,,-3,-6,,3,7,no,0
2016-8-7,2016,8,7,Tampa Bay,Oakland,,-1,-1.5,,0.5,5,no,0
2016-8-8,2016,8,8,Carolina,Arizona,,-2.5,0,,-2.5,1,yes,1
2016-8-9,2016,8,9,Detroit,Houston,,2.5,2.5,,0,4,no,0
2016-8-10,2016,8,10,Denver,L.A. Rams,,-5,-9,,4,11,yes,11
2016-8-11,2016,8,11,Atlanta,Green Bay,,-3,-1.5,,-1.5,2,yes,2
2016-8-12,2016,8,12,Dallas,Philadelphia,,-4.5,-2.5,,-2,10,yes,10
2016-8-13,2016,8,13,Minnesota,Chicago,,-5.5,-7.5,,2,12,no,0
2016-9-1,2016,9,1,Atlanta,Tampa Bay,,-4.5,-2.5,,-2,5,yes,5
2016-9-2,2016,9,2,Dallas,Cleveland,,-7.5,-8.5,,1,13,yes,13
2016-9-3,2016,9,3,Kansas City,Jacksonville,,-7.5,-15,,7.5,10,yes,10
2016-9-4,2016,9,4,Miami,N.Y. Jets,,-3.5,-1,,-2.5,1,yes,1
2016-9-5,2016,9,5,Minnesota,Detroit,,-6,-6,,0,3,no,0
2016-9-6,2016,9,6,N.Y. Giants,Philadelphia,,-2.5,0,,-2.5,2,yes,2
2016-9-7,2016,9,7,Pittsburgh,Baltimore,,0,-2,,2,6,no,0
2016-9-8,2016,9,8,Carolina,L.A. Rams,,-3,-1.5,,-1.5,7,yes,7
2016-9-9,2016,9,9,New Orleans,San Francisco,,-4,-1.5,,-2.5,9,yes,9
2016-9-10,2016,9,10,Green Bay,Indianapolis,,-7.5,-7,,-0.5,12,no,0
2016-9-11,2016,9,11,L.A. Rams,Tennessee,,-5,-6.5,,1.5,8,yes,8
2016-9-12,2016,9,12,Oakland,Denver,,-1,3,,-4,4,yes,4
2016-9-13,2016,9,13,Seattle,Buffalo,,-7,-5.5,,-1.5,11,yes,11
2016-10-1,2016,10,1,Baltimore,Cleveland,,-10,-10,,0,11,yes,11
2016-10-2,2016,10,2,Green Bay,Tennessee,,-2.5,-4.5,,2,12,no,0
2016-10-3,2016,10,3,Denver,New Orleans,,2,2.5,,-0.5,3,yes,3
2016-10-4,2016,10,4,N.Y. Jets,L.A. Rams,,-1.5,-4,,2.5,4,no,0
2016-10-5,2016,10,5,Atlanta,Philadelphia,,1,1,,0,6,no,0
2016-10-6,2016,10,6,Tampa Bay,Chicago,,0,-2.5,,2.5,5,yes,5
