Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,3,Chargers (deferred),,outdoors,fieldturf,3:00,"52,400","75 degrees, relative humidity 0%, wind 12 mph, wind chill 0",Minnesota Vikings -1.0,44.5 (over),https://www.pro-football-reference.com/boxscores/201509270min.htm,Minnesota Vikings,-1,44.5
2015,3,Panthers (deferred),,outdoors,grass ,3:10,"73,402","69 degrees, relative humidity 90%, wind 9 mph, wind chill 0",Carolina Panthers -9.5,43.5 (over),https://www.pro-football-reference.com/boxscores/201509270car.htm,Carolina Panthers,-9.5,43.5
2015,3,Colts (deferred),,outdoors,grass ,3:13,"65,920","74 degrees, relative humidity 77%, wind 3 mph",Indianapolis Colts -3.5,46.0 (over),https://www.pro-football-reference.com/boxscores/201509270oti.htm,Indianapolis Colts,-3.5,46
2015,3,Jets,,outdoors,fieldturf ,3:15,"78,160","66 degrees, relative humidity 52%, wind 7 mph, wind chill 0",New York Jets -1.5,45.5 (under),https://www.pro-football-reference.com/boxscores/201509270nyj.htm,New York Jets,-1.5,45.5
2015,3,Buccaneers (deferred),,retractable roof (closed),fieldturf,3:19,"71,718",,Houston Texans -6.5,40.5 (under),https://www.pro-football-reference.com/boxscores/201509270htx.htm,Houston Texans,-6.5,40.5
2015,3,Falcons (deferred),,retractable roof (closed),matrixturf,2:56,"90,345",,Atlanta Falcons -1.0,43.5 (over),https://www.pro-football-reference.com/boxscores/201509270dal.htm,Atlanta Falcons,-1,43.5
2015,3,Patriots,,outdoors,fieldturf ,2:57,"66,829","68 degrees, relative humidity 41%, wind 6 mph, wind chill 0",New England Patriots -13.5,49.0 (over),https://www.pro-football-reference.com/boxscores/201509270nwe.htm,New England Patriots,-13.5,49
2015,3,Cardinals,,retractable roof (closed),grass ,2:53,"63,663",,Arizona Cardinals -6.5,45.0 (over),https://www.pro-football-reference.com/boxscores/201509270crd.htm,Arizona Cardinals,-6.5,45
2015,3,Dolphins,,outdoors,grass ,3:07,"64,869","87 degrees, relative humidity 65%, wind 6 mph, wind chill 0",Miami Dolphins -2.5,41.5 (over),https://www.pro-football-reference.com/boxscores/201509270mia.htm,Miami Dolphins,-2.5,41.5
2015,3,Seahawks (deferred),,outdoors,fieldturf ,2:54,"69,002","60 degrees, relative humidity 53%, wind 5 mph, wind chill 0",Seattle Seahawks -14.5,43.5 (under),https://www.pro-football-reference.com/boxscores/201509270sea.htm,Seattle Seahawks,-14.5,43.5
